file,before_cov,before_ops,after_cov,after_ops
v00_full.json,100.0000,24,100.0000,16
v01_drop_CDCFst_00_0_.json,100.0000,18,100.0000,15
v01_drop_CDCFst_00_1_.json,100.0000,20,100.0000,16
v01_drop_CFid_dn_0_.json,100.0000,24,100.0000,16
v01_drop_CFid_dn_1_.json,100.0000,24,100.0000,16
v01_drop_CFid_up_0_.json,96.9697,24,100.0000,17
v01_drop_CFid_up_1_.json,96.9697,24,100.0000,14
v01_drop_CIDC.json,100.0000,24,100.0000,16
v01_drop_CIDCB_0_00_.json,95.4545,24,100.0000,17
v01_drop_CIDCB_1_11_.json,93.9394,18,100.0000,16
v01_drop_CIDDB_0_0_.json,100.0000,24,100.0000,16
v01_drop_CIDDB_0_1_.json,100.0000,24,100.0000,16
v01_drop_CIDDB_1_0_.json,100.0000,24,100.0000,16
v01_drop_CIDDB_1_1_.json,96.9697,24,100.0000,17
v01_drop_CIDD_0_0_.json,95.4545,24,100.0000,14
v01_drop_CIDD_0_1_.json,100.0000,24,100.0000,16
v01_drop_CIDD_1_0_.json,95.4545,18,100.0000,14
v01_drop_CIDD_1_1_.json,100.0000,24,100.0000,16
v01_drop_CIDWD.json,100.0000,24,100.0000,16
v01_drop_CIDWDB.json,96.9697,24,100.0000,16
v01_drop_CI_00_11_.json,100.0000,24,100.0000,16
v01_drop_CI_01_11_.json,100.0000,24,100.0000,16
v01_drop_CI_10_11_.json,98.4848,24,100.0000,16
v01_drop_DDCB_0_11_.json,100.0000,24,100.0000,16
v01_drop_DDCB_1_11_.json,100.0000,24,100.0000,16
v01_drop_IC00.json,95.4545,24,100.0000,17
v01_drop_IC01.json,100.0000,24,100.0000,16
v01_drop_IC10.json,100.0000,24,100.0000,16
v01_drop_IC11.json,100.0000,24,100.0000,16
v01_drop_SA0.json,100.0000,24,100.0000,16
v01_drop_SA1.json,100.0000,24,100.0000,16
v01_drop_SDC_11_01_.json,100.0000,24,100.0000,16
v01_drop_SDC_11_10_.json,100.0000,24,100.0000,15
v01_drop_TFd.json,100.0000,24,100.0000,16
v01_drop_TFu.json,100.0000,24,100.0000,16
v02_no_either_read_or_compute.json,95.0000,24,100.0000,15
v02_no_must_compute.json,100.0000,18,100.0000,14
v02_no_must_read.json,100.0000,15,100.0000,13
v03_no_single_cell.json,94.4444,24,100.0000,15
v03_no_two_cell_cross_row.json,97.8261,24,100.0000,14
v03_no_two_cell_row-agnostic.json,100.0000,18,100.0000,13
v03_no_two_cell_same_row.json,98.4848,24,100.0000,16
v04_no_family_CDCFst.json,100.0000,18,100.0000,15
v04_no_family_CFid.json,95.0000,24,98.3333,13
v04_no_family_CI.json,98.3871,24,100.0000,14
v04_no_family_CIDCB.json,95.3125,18,100.0000,17
v04_no_family_CIDD.json,93.3333,24,100.0000,17
v04_no_family_CIDDB.json,100.0000,24,100.0000,16
v04_no_family_CIDWD.json,96.8750,24,100.0000,16
v04_no_family_DDCB.json,98.4375,24,100.0000,16
v04_no_family_IC.json,95.0000,24,100.0000,17
v04_no_family_SA.json,100.0000,24,100.0000,16
v04_no_family_SDC.json,100.0000,24,100.0000,15
v05_single_cell_only.json,100.0000,15,100.0000,10
v05_two_cell_only.json,94.4444,24,100.0000,15
