file,before_cov,before_ops,after_cov,after_ops
v00_full.json,95.5882,18,100.0000,14
v01_drop_CDCFst_00_0_.json,95.4545,18,100.0000,14
v01_drop_CDCFst_00_1_.json,95.4545,18,100.0000,14
v01_drop_CFid_dn_0_.json,95.4545,18,100.0000,14
v01_drop_CFid_dn_1_.json,92.4242,18,100.0000,16
v01_drop_CFid_up_0_.json,95.4545,18,100.0000,14
v01_drop_CFid_up_1_.json,96.9697,18,100.0000,14
v01_drop_CIDC.json,95.4545,18,100.0000,14
v01_drop_CIDCB_0_00_.json,95.4545,18,100.0000,14
v01_drop_CIDCB_1_11_.json,93.9394,18,100.0000,16
v01_drop_CIDDB_0_0_.json,95.4545,18,100.0000,14
v01_drop_CIDDB_0_1_.json,92.4242,18,98.4848,16
v01_drop_CIDDB_1_0_.json,92.4242,18,100.0000,16
v01_drop_CIDDB_1_1_.json,95.4545,18,100.0000,14
v01_drop_CIDD_0_0_.json,95.4545,18,100.0000,14
v01_drop_CIDD_0_1_.json,95.4545,18,100.0000,14
v01_drop_CIDD_1_0_.json,95.4545,18,100.0000,14
v01_drop_CIDD_1_1_.json,95.4545,18,100.0000,14
v01_drop_CIDWD.json,95.4545,18,100.0000,14
v01_drop_CIDWDB.json,92.4242,18,100.0000,15
v01_drop_CI_00_11_.json,95.4545,18,100.0000,14
v01_drop_CI_01_11_.json,95.4545,18,100.0000,14
v01_drop_CI_10_11_.json,90.9091,24,96.9697,16
v01_drop_DDCB_0_11_.json,86.3636,18,96.9697,16
v01_drop_DDCB_1_11_.json,90.9091,18,100.0000,16
v01_drop_IC00.json,95.4545,18,100.0000,14
v01_drop_IC01.json,84.8485,24,95.4545,15
v01_drop_IC10.json,95.4545,18,100.0000,14
v01_drop_IC11.json,95.4545,18,100.0000,14
v01_drop_SA0.json,95.4545,18,100.0000,14
v01_drop_SA1.json,95.4545,18,100.0000,14
v01_drop_SDC_11_01_.json,84.8485,24,95.4545,15
v01_drop_SDC_11_10_.json,95.4545,18,100.0000,16
v01_drop_TFd.json,92.4242,18,98.4848,16
v01_drop_TFu.json,95.4545,18,100.0000,14
v02_no_either_read_or_compute.json,92.5000,24,97.5000,14
v02_no_must_compute.json,87.5000,18,92.5000,11
v02_no_must_read.json,100.0000,13,100.0000,13
v03_no_single_cell.json,91.6667,12,94.4444,13
v03_no_two_cell_cross_row.json,97.8261,24,100.0000,14
v03_no_two_cell_row-agnostic.json,100.0000,13,100.0000,13
v03_no_two_cell_same_row.json,90.9091,24,96.9697,16
v04_no_family_CDCFst.json,95.3125,18,100.0000,14
v04_no_family_CFid.json,93.3333,18,100.0000,15
v04_no_family_CI.json,90.3226,24,96.7742,15
v04_no_family_CIDCB.json,92.1875,18,100.0000,14
v04_no_family_CIDD.json,95.0000,18,100.0000,14
v04_no_family_CIDDB.json,91.6667,18,98.3333,16
v04_no_family_CIDWD.json,92.1875,18,100.0000,15
v04_no_family_DDCB.json,98.4375,24,100.0000,16
v04_no_family_IC.json,95.0000,18,100.0000,14
v04_no_family_SA.json,95.3125,18,100.0000,14
v04_no_family_SDC.json,95.3125,18,100.0000,16
v05_single_cell_only.json,100.0000,10,100.0000,10
v05_two_cell_only.json,91.6667,12,94.4444,13
v06_only_CIDC.json,100.0000,2,100.0000,2
v06_only_CIDWD.json,100.0000,3,100.0000,3
v06_only_IC00.json,100.0000,2,100.0000,2
v06_only_SA0.json,100.0000,3,100.0000,3
v06_only_TFu.json,100.0000,3,100.0000,3
v06_only_family_CFid.json,100.0000,9,100.0000,9
v06_only_family_CI.json,100.0000,7,100.0000,7
v06_only_family_CIDD.json,100.0000,7,100.0000,7
v06_only_family_CIDDB.json,100.0000,7,100.0000,7
v06_only_family_IC.json,100.0000,7,100.0000,7
