file,before_cov,before_ops,after_cov,after_ops,compress_ops
v00_full.json,95.5882,18,100.0000,17,14
v01_drop_CDCFst_00_0_.json,95.4545,18,100.0000,16,14
v01_drop_CDCFst_00_1_.json,95.4545,18,100.0000,17,14
v01_drop_CFid_dn_0_.json,95.4545,18,100.0000,17,14
v01_drop_CFid_dn_1_.json,92.4242,18,100.0000,16,16
v01_drop_CFid_up_0_.json,95.4545,18,100.0000,17,14
v01_drop_CFid_up_1_.json,96.9697,18,100.0000,16,14
v01_drop_CIDC.json,95.4545,18,100.0000,17,14
v01_drop_CIDCB_0_00_.json,95.4545,18,100.0000,17,14
v01_drop_CIDCB_1_11_.json,93.9394,18,100.0000,16,16
v01_drop_CIDDB_0_0_.json,95.4545,18,100.0000,17,14
v01_drop_CIDDB_0_1_.json,92.4242,18,98.4848,16,16
v01_drop_CIDDB_1_0_.json,92.4242,18,100.0000,17,16
v01_drop_CIDDB_1_1_.json,95.4545,18,100.0000,17,14
v01_drop_CIDD_0_0_.json,95.4545,18,100.0000,17,14
v01_drop_CIDD_0_1_.json,95.4545,18,100.0000,17,14
v01_drop_CIDD_1_0_.json,95.4545,18,100.0000,17,14
v01_drop_CIDD_1_1_.json,95.4545,18,100.0000,17,14
v01_drop_CIDWD.json,95.4545,18,100.0000,17,14
v01_drop_CIDWDB.json,92.4242,18,100.0000,17,15
v01_drop_CI_00_11_.json,95.4545,18,100.0000,17,14
v01_drop_CI_01_11_.json,95.4545,18,100.0000,17,14
v01_drop_CI_10_11_.json,90.9091,24,96.9697,16,16
v01_drop_DDCB_0_11_.json,86.3636,18,98.4848,17,15
v01_drop_DDCB_1_11_.json,90.9091,18,100.0000,16,16
v01_drop_IC00.json,95.4545,18,100.0000,17,14
v01_drop_IC01.json,84.8485,24,95.4545,15,15
v01_drop_IC10.json,95.4545,18,100.0000,17,14
v01_drop_IC11.json,95.4545,18,100.0000,17,14
v01_drop_SA0.json,95.4545,18,100.0000,17,14
v01_drop_SA1.json,95.4545,18,100.0000,17,14
v01_drop_SDC_11_01_.json,84.8485,24,95.4545,15,15
